s.no,District,population_2011,population_2001,Area(sq km),literacy,Sex ratio(per 1000 boys)
1,Thane,"11,060,148","8,131,849","9,558",84.53 %,886
2,Pune,"9,429,408","7,232,555","15,643",86.15 %,915
3,Mumbai Suburban,"9,356,962","8,640,419",446,89.91 %,860
4,Nashik,"6,107,187","4,993,796","15,530",82.31 %,934
5,Nagpur,"4,653,570","4,067,637","9,892",88.39 %,951
6,Ahmadnagar,"4,543,159","4,040,642","17,048",79.05 %,939
7,Solapur,"4,317,756","3,849,543","14,895",77.02 %,938
8,Jalgaon,"4,229,917","3,682,690","11,765",78.20 %,925
9,Kolhapur,"3,876,001","3,523,162","7,685",81.51 %,957
10,Aurangabad,"3,701,282","2,897,013","10,107",79.02 %,923
11,Nanded,"3,361,292","2,876,259","10,528",75.45 %,943
12,Mumbai City,"3,085,411","3,338,031",157,89.21 %,832
13,Satara,"3,003,741","2,808,994","10,480",82.87 %,988
14,Amravati,"2,888,445","2,607,160","12,210",87.38 %,951
15,Sangli,"2,822,143","2,583,524","8,572",81.48 %,966
16,Yavatmal,"2,772,348","2,458,271","13,582",82.82 %,952
17,Raigarh,"2,634,200","2,207,929","7,152",83.14 %,959
18,Buldana,"2,586,258","2,232,480","9,661",83.40 %,934
19,Beed,"2,585,049","2,161,250","10,693",76.99 %,916
20,Latur,"2,454,196","2,080,285","7,157",77.26 %,928
21,Chandrapur,"2,204,307","2,071,101","11,443",80.01 %,961
22,Dhule,"2,050,862","1,707,947","7,195",72.80 %,946
23,Jalna,"1,959,046","1,612,980","7,718",71.52 %,937
24,Parbhani,"1,836,086","1,527,715","6,214",73.34 %,947
25,Akola,"1,813,906","1,630,239","5,676",88.05 %,946
26,Osmanabad,"1,657,576","1,486,586","7,569",78.44 %,924
27,Nandurbar,"1,648,295","1,311,709","5,955",64.38 %,978
28,Ratnagiri,"1,615,069","1,696,777","8,208",82.18 %,1122
29,Gondiya,"1,322,507","1,200,707","5,234",84.95 %,999
30,Wardha,"1,300,774","1,236,736","6,309",86.99 %,946
31,Bhandara,"1,200,334","1,136,146","4,087",83.76 %,982
32,Washim,"1,197,160","1,020,216","4,898",83.25 %,930
33,Hingoli,"1,177,345","987,160","4,827",78.17 %,942
34,Gadchiroli,"1,072,942","970,294","14,412",74.36 %,982
35,Sindhudurg,"849,651","868,825","5,207",85.56 %,1036
